ratio_variant,data_quantity_min,layer_thr,msw_thr,x,n_rows,pct_no_snow,pct_ground,pct_both,accuracy
exclude_nans,5,0.0,0.0,1.0,688,48.11046511627907,27.906976744186046,23.982558139534884,0.8953488372093024
exclude_nans,5,0.0,0.0,1.1,680,47.5,28.235294117647058,24.264705882352942,0.8926470588235295
exclude_nans,5,0.0,0.0,1.2,666,46.6966966966967,28.678678678678676,24.624624624624623,0.8963963963963963
exclude_nans,5,0.0,0.0,1.3,652,45.70552147239264,29.29447852760736,25.0,0.8941717791411042
exclude_nans,5,0.0,0.0,1.4,633,44.07582938388626,30.173775671406005,25.75039494470774,0.9004739336492891
exclude_nans,5,0.0,0.0,1.5,618,43.042071197411005,30.582524271844658,26.375404530744333,0.889967637540453
exclude_nans,5,0.0,0.0,1.6,596,41.442953020134226,31.3758389261745,27.181208053691275,0.8875838926174496
exclude_nans,5,0.0,0.0,1.7,560,38.035714285714285,33.214285714285715,28.749999999999996,0.8803571428571428
exclude_nans,5,0.0,0.0,1.8,522,34.67432950191571,34.86590038314176,30.45977011494253,0.8524904214559387
exclude_nans,5,0.0,0.0,1.9,490,31.428571428571427,36.3265306122449,32.244897959183675,0.8448979591836735
exclude_nans,5,0.0,0.0,2.0,460,27.608695652173914,38.04347826086957,34.34782608695652,0.8434782608695652
exclude_nans,5,0.0,0.2,1.0,696,48.41954022988506,27.729885057471265,23.850574712643677,0.896551724137931
exclude_nans,5,0.0,0.2,1.1,688,47.81976744186046,28.052325581395348,24.12790697674419,0.8924418604651163
exclude_nans,5,0.0,0.2,1.2,674,47.032640949554896,28.486646884272997,24.480712166172104,0.8931750741839762
exclude_nans,5,0.0,0.2,1.3,660,46.06060606060606,29.09090909090909,24.848484848484848,0.8924242424242425
exclude_nans,5,0.0,0.2,1.4,639,44.28794992175274,30.046948356807512,25.665101721439747,0.8967136150234741
exclude_nans,5,0.0,0.2,1.5,624,43.269230769230774,30.448717948717945,26.282051282051285,0.8910256410256411
exclude_nans,5,0.0,0.2,1.6,602,41.69435215946844,31.22923588039867,27.07641196013289,0.8853820598006644
exclude_nans,5,0.0,0.2,1.7,566,38.33922261484099,33.03886925795053,28.621908127208478,0.8798586572438163
exclude_nans,5,0.0,0.2,1.8,526,34.98098859315589,34.60076045627377,30.418250950570343,0.8517110266159695
exclude_nans,5,0.0,0.2,1.9,493,31.643002028397564,36.105476673427994,32.25152129817444,0.845841784989858
exclude_nans,5,0.0,0.2,2.0,463,27.861771058315334,37.79697624190065,34.34125269978402,0.8401727861771058
exclude_nans,5,0.0,0.4,1.0,703,48.64864864864865,27.738264580369844,23.61308677098151,0.8975817923186344
exclude_nans,5,0.0,0.4,1.1,694,47.982708933717575,28.097982708933717,23.919308357348704,0.8948126801152738
exclude_nans,5,0.0,0.4,1.2,680,47.205882352941174,28.52941176470588,24.264705882352942,0.8941176470588236
exclude_nans,5,0.0,0.4,1.3,666,46.246246246246244,29.129129129129126,24.624624624624623,0.8948948948948949
exclude_nans,5,0.0,0.4,1.4,645,44.49612403100775,30.077519379844965,25.426356589147286,0.8992248062015504
exclude_nans,5,0.0,0.4,1.5,630,43.492063492063494,30.476190476190478,26.031746031746035,0.8841269841269841
exclude_nans,5,0.0,0.4,1.6,608,41.94078947368421,31.25,26.80921052631579,0.8848684210526315
exclude_nans,5,0.0,0.4,1.7,572,38.63636363636363,33.04195804195804,28.321678321678323,0.8793706293706294
exclude_nans,5,0.0,0.4,1.8,532,35.338345864661655,34.58646616541353,30.075187969924812,0.8796992481203008
exclude_nans,5,0.0,0.4,1.9,498,31.92771084337349,36.144578313253014,31.92771084337349,0.857429718875502
exclude_nans,5,0.0,0.4,2.0,467,28.051391862955033,37.901498929336185,34.04710920770878,0.854389721627409
exclude_nans,5,0.0,0.6,1.0,707,48.939179632248944,27.58132956152758,23.47949080622348,0.8981612446958982
exclude_nans,5,0.0,0.6,1.1,698,48.28080229226361,27.936962750716333,23.78223495702006,0.8954154727793696
exclude_nans,5,0.0,0.6,1.2,684,47.514619883040936,28.362573099415204,24.12280701754386,0.9035087719298246
exclude_nans,5,0.0,0.6,1.3,670,46.56716417910447,28.955223880597014,24.47761194029851,0.8940298507462686
exclude_nans,5,0.0,0.6,1.4,649,44.8382126348228,29.892141756548536,25.26964560862866,0.8998459167950693
exclude_nans,5,0.0,0.6,1.5,633,43.75987361769352,30.33175355450237,25.908372827804104,0.8846761453396524
exclude_nans,5,0.0,0.6,1.6,611,42.225859247135844,31.09656301145663,26.677577741407525,0.8870703764320785
exclude_nans,5,0.0,0.6,1.7,575,38.95652173913044,32.869565217391305,28.17391304347826,0.88
exclude_nans,5,0.0,0.6,1.8,534,35.580524344569284,34.45692883895131,29.962546816479403,0.8857677902621723
exclude_nans,5,0.0,0.6,1.9,499,32.06412825651302,36.07214428857716,31.863727454909817,0.8577154308617234
exclude_nans,5,0.0,0.6,2.0,468,28.205128205128204,37.82051282051282,33.97435897435898,0.8547008547008547
exclude_nans,5,0.0,0.8,1.0,712,49.157303370786515,27.3876404494382,23.45505617977528,0.898876404494382
exclude_nans,5,0.0,0.8,1.1,702,48.433048433048434,27.77777777777778,23.78917378917379,0.896011396011396
exclude_nans,5,0.0,0.8,1.2,688,47.674418604651166,28.197674418604652,24.12790697674419,0.8982558139534884
exclude_nans,5,0.0,0.8,1.3,674,46.73590504451038,28.783382789317507,24.480712166172104,0.8946587537091988
exclude_nans,5,0.0,0.8,1.4,652,44.93865030674847,29.754601226993866,25.306748466257666,0.8911042944785276
exclude_nans,5,0.0,0.8,1.5,636,43.86792452830189,30.18867924528302,25.943396226415093,0.8946540880503144
exclude_nans,5,0.0,0.8,1.6,614,42.34527687296417,30.944625407166125,26.710097719869708,0.8811074918566775
exclude_nans,5,0.0,0.8,1.7,578,39.10034602076124,32.69896193771626,28.20069204152249,0.8788927335640139
exclude_nans,5,0.0,0.8,1.8,537,35.754189944134076,34.26443202979516,29.981378026070765,0.888268156424581
exclude_nans,5,0.0,0.8,1.9,502,32.27091633466135,35.85657370517929,31.872509960159363,0.8585657370517928
exclude_nans,5,0.0,0.8,2.0,470,28.297872340425535,37.659574468085104,34.04255319148936,0.8553191489361702
exclude_nans,5,0.0,1.0,1.0,817,48.10281517747858,28.76376988984088,23.133414932680537,0.8996328029375765
exclude_nans,5,0.0,1.0,1.1,806,47.39454094292804,29.156327543424315,23.449131513647643,0.8970223325062034
exclude_nans,5,0.0,1.0,1.2,790,46.58227848101266,29.620253164556964,23.79746835443038,0.9012658227848102
exclude_nans,5,0.0,1.0,1.3,772,45.59585492227979,30.310880829015545,24.093264248704664,0.8950777202072538
exclude_nans,5,0.0,1.0,1.4,747,43.90896921017403,31.191432396251674,24.899598393574294,0.9022757697456493
