Camera,Date,FSC,Tree Snow,Image,x_coord,y_coord,Certainty,Altitude,,,
sodankyla_full,09/10/2020,0,0,201009_123002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,,,
sodankyla_full,13/10/2020,0,0,,26.634154,67.361833,1,185,,,
sodankyla_full,21/10/2020,1,1,201021_140002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,,,
sodankyla_full,07/11/2020,0,0,,26.634154,67.361833,1,185,,,
sodankyla_full,10/12/2020,1,1,201210_130004_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,,,
sodankyla_full,17/12/2020,1,1,,26.634154,67.361833,1,185,,,
sodankyla_full,04/01/2021,1,1,,26.634154,67.361833,1,185,,,
sodankyla_full,08/01/2021,1,1,210108_121502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,,,
sodankyla_full,19/01/2021,1,1,,26.634154,67.361833,1,185,,,
sodankyla_full,06/02/2021,1,1,,26.634154,67.361833,1,185,,,
sodankyla_full,17/02/2021,1,1,,26.634154,67.361833,1,185,,,
sodankyla_full,07/03/2021,1,0,,26.634154,67.361833,1,185,,,
sodankyla_full,11/03/2021,1,0,,26.634154,67.361833,1,185,,,
sodankyla_full,18/03/2021,1,0,,26.634154,67.361833,1,185,,,
sodankyla_full,22/03/2021,1,0,210322_124501_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,,,
sodankyla_full,09/04/2021,1,0,210409_123003_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,,,
sodankyla_full,13/04/2021,1,0,,26.634154,67.361833,1,185,,,
sodankyla_full,20/04/2021,1,0,210420_070002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,,,
sodankyla_full,08/05/2021,0.8,0,,26.634154,67.361833,0,185,,,
sodankyla_full,06/06/2021,0,0,,26.634154,67.361833,1,185,,,
sodankyla_full,10/06/2021,0,0,210610_150002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,,,
sodankyla_full,09/07/2021,0,0,210709_151502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,,,
sodankyla_full,13/07/2021,0,0,,26.634154,67.361833,1,185,,,
sodankyla_full,20/07/2021,0,0,210720_124502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,,,
sodankyla_full,24/07/2021,0,0,,26.634154,67.361833,1,185,,,
sodankyla_full,07/08/2021,0,0,,26.634154,67.361833,1,185,,,
sodankyla_full,11/08/2021,0,0,,26.634154,67.361833,1,185,,,
sodankyla_full,22/08/2021,0,0,,26.634154,67.361833,1,185,,,
sodankyla_full,04/09/2021,0,0,,26.634154,67.361833,1,185,,,
sodankyla_full,08/09/2021,0,0,210908_151502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,,,
sodankyla_full,16/09/2021,0,0,,26.634154,67.361833,1,185,,,
sodankyla_full,20/09/2021,0,0,210920_101502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,,,
sodankyla_full,07/10/2021,0,0,211007_123005_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,,,
sodankyla_full,19/10/2021,0,0,,26.634154,67.361833,1,185,,,
sodankyla_full,23/10/2021,1,0,,26.634154,67.361833,1,185,,,
sodankyla_full,21/11/2021,1,1,,26.634154,67.361833,1,185,,,
sodankyla_full,04/12/2021,1,1,,26.634154,67.361833,1,185,,,
sodankyla_full,08/12/2021,1,1,,26.634154,67.361833,1,185,,,
sodankyla_full,16/12/2021,1,1,,26.634154,67.361833,1,185,,,
sodankyla_full,20/12/2021,1,1,211220_140002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,,,
