ratio_variant,data_quantity_min,layer_thr,msw_thr,x,n_rows,pct_no_snow,pct_ground,pct_both,accuracy
exclude_nans,13,10,10,1.45,756,54.629629629629626,29.232804232804234,16.137566137566136,0.9325396825396826
exclude_nans,13,10,10,1.5,736,53.66847826086957,29.7554347826087,16.57608695652174,0.9293478260869565
exclude_nans,13,10,10,1.55,717,52.719665271966534,30.264993026499305,17.01534170153417,0.9288702928870293
exclude_nans,13,10,10,1.6,696,51.724137931034484,30.747126436781606,17.52873563218391,0.9339080459770115
exclude_nans,13,10,10,1.65,668,49.700598802395206,32.035928143712574,18.263473053892216,0.9281437125748503
exclude_nans,13,10,10,1.7,641,47.737909516380654,33.38533541341654,18.876755070202808,0.9251170046801872
exclude_nans,13,10,10,1.75,611,45.662847790507364,34.697217675941076,19.639934533551553,0.9279869067103109
exclude_nans,13,10,10,1.8,583,43.739279588336196,35.84905660377358,20.411663807890225,0.9279588336192109
exclude_nans,13,10,10,1.85,557,41.4721723518851,37.16337522441652,21.364452423698385,0.9210053859964094
exclude_nans,13,10,10,1.9,527,38.70967741935484,39.08918406072106,22.2011385199241,0.9222011385199241
exclude_nans,13,10,10,1.95,504,36.30952380952381,40.476190476190474,23.214285714285715,0.9107142857142857
exclude_nans,13,10,10,2.0,488,34.63114754098361,41.39344262295082,23.975409836065573,0.9241803278688525
exclude_nans,14,10,10,1.0,877,60.889395667046756,25.313568985176737,13.797035347776509,0.9384264538198404
exclude_nans,14,10,10,1.05,862,60.32482598607889,25.638051044083525,14.037122969837586,0.9396751740139211
exclude_nans,14,10,10,1.1,854,60.07025761124122,25.76112412177986,14.168618266978921,0.9402810304449649
exclude_nans,14,10,10,1.15,838,59.427207637231504,26.13365155131265,14.439140811455847,0.9439140811455847
exclude_nans,14,10,10,1.2,826,58.958837772397096,26.39225181598063,14.648910411622277,0.9443099273607748
exclude_nans,14,10,10,1.25,814,58.353808353808354,26.78132678132678,14.864864864864865,0.9447174447174447
exclude_nans,14,10,10,1.3,797,57.84190715181933,27.22710163111669,14.93099121706399,0.9410288582183187
exclude_nans,14,10,10,1.35,782,57.1611253196931,27.621483375959077,15.217391304347828,0.9398976982097187
exclude_nans,14,10,10,1.4,763,56.225425950196595,28.178243774574053,15.59633027522936,0.9384010484927916
exclude_nans,14,10,10,1.45,744,55.107526881720425,28.897849462365592,15.994623655913978,0.9368279569892473
exclude_nans,14,10,10,1.5,724,54.14364640883977,29.41988950276243,16.43646408839779,0.930939226519337
exclude_nans,14,10,10,1.55,705,53.191489361702125,29.929078014184395,16.879432624113473,0.9290780141843972
exclude_nans,14,10,10,1.6,684,52.19298245614035,30.409356725146196,17.39766081871345,0.9312865497076024
exclude_nans,14,10,10,1.65,656,50.15243902439024,31.70731707317073,18.140243902439025,0.926829268292683
exclude_nans,14,10,10,1.7,629,48.171701112877585,33.068362480127185,18.75993640699523,0.9252782193958664
exclude_nans,14,10,10,1.75,600,46.0,34.5,19.5,0.9216666666666666
exclude_nans,14,10,10,1.8,572,44.05594405594406,35.66433566433567,20.27972027972028,0.9265734265734266
exclude_nans,14,10,10,1.85,546,41.75824175824176,36.996336996337,21.245421245421245,0.9212454212454212
exclude_nans,14,10,10,1.9,516,38.95348837209303,38.95348837209303,22.093023255813954,0.9205426356589147
exclude_nans,14,10,10,1.95,494,36.63967611336032,40.2834008097166,23.076923076923077,0.9109311740890689
exclude_nans,14,10,10,2.0,478,34.93723849372385,41.21338912133891,23.84937238493724,0.9246861924686193
exclude_nans,15,10,10,1.0,865,61.156069364161844,24.971098265895954,13.872832369942195,0.9387283236994219
exclude_nans,15,10,10,1.05,850,60.588235294117645,25.294117647058822,14.117647058823529,0.9388235294117647
exclude_nans,15,10,10,1.1,842,60.33254156769596,25.415676959619955,14.251781472684085,0.9394299287410927
exclude_nans,15,10,10,1.15,826,59.68523002421308,25.786924939467315,14.527845036319611,0.9455205811138014
exclude_nans,15,10,10,1.2,815,59.263803680981596,26.012269938650306,14.723926380368098,0.9447852760736196
exclude_nans,15,10,10,1.25,803,58.655043586550434,26.40099626400996,14.9439601494396,0.9427148194271482
exclude_nans,15,10,10,1.3,786,58.14249363867684,26.84478371501272,15.012722646310433,0.9402035623409669
exclude_nans,15,10,10,1.35,771,57.45784695201037,27.237354085603112,15.304798962386512,0.9390402075226978
exclude_nans,15,10,10,1.4,752,56.51595744680851,27.79255319148936,15.691489361702127,0.9375
exclude_nans,15,10,10,1.45,733,55.38881309686221,28.512960436562075,16.098226466575717,0.9358799454297408
exclude_nans,15,10,10,1.5,713,54.4179523141655,29.03225806451613,16.54978962131837,0.9312762973352033
exclude_nans,15,10,10,1.55,694,53.45821325648416,29.53890489913545,17.002881844380404,0.930835734870317
exclude_nans,15,10,10,1.6,673,52.4517087667162,30.0148588410104,17.5334323922734,0.9331352154531947
exclude_nans,15,10,10,1.65,645,50.3875968992248,31.317829457364343,18.294573643410853,0.9271317829457364
exclude_nans,15,10,10,1.7,618,48.381877022653725,32.68608414239482,18.932038834951456,0.9239482200647249
exclude_nans,15,10,10,1.75,589,46.17996604414261,34.125636672325975,19.69439728353141,0.9202037351443124
exclude_nans,15,10,10,1.8,561,44.20677361853833,35.294117647058826,20.499108734402853,0.9180035650623886
exclude_nans,15,10,10,1.85,536,41.97761194029851,36.56716417910448,21.455223880597014,0.9197761194029851
exclude_nans,15,10,10,1.9,506,39.130434782608695,38.537549407114625,22.33201581027668,0.9189723320158103
exclude_nans,15,10,10,1.95,485,36.907216494845365,39.79381443298969,23.298969072164947,0.9072164948453608
exclude_nans,15,10,10,2.0,469,35.18123667377399,40.72494669509595,24.093816631130064,0.9232409381663113
exclude_nans,16,10,10,1.0,849,61.71967020023557,24.499411071849234,13.780918727915195,0.944640753828033
exclude_nans,16,10,10,1.05,834,61.15107913669065,24.820143884892087,14.028776978417264,0.9436450839328537
exclude_nans,16,10,10,1.1,826,60.89588377723971,24.93946731234867,14.164648910411623,0.9467312348668281
exclude_nans,16,10,10,1.15,810,60.24691358024692,25.308641975308642,14.444444444444443,0.9481481481481482
exclude_nans,16,10,10,1.2,799,59.82478097622027,25.53191489361702,14.643304130162704,0.9486858573216521
exclude_nans,16,10,10,1.25,787,59.21219822109276,25.921219822109276,14.866581956797967,0.9479034307496823
exclude_nans,16,10,10,1.3,771,58.62516212710766,26.329442282749678,15.045395590142672,0.940337224383917
exclude_nans,16,10,10,1.35,757,57.85997357992074,26.81638044914135,15.323645970937912,0.9392338177014531
exclude_nans,16,10,10,1.4,738,56.91056910569105,27.371273712737125,15.718157181571815,0.9390243902439024
exclude_nans,16,10,10,1.45,719,55.77190542420028,28.094575799721838,16.133518776077885,0.9374130737134909
exclude_nans,16,10,10,1.5,700,54.714285714285715,28.714285714285715,16.57142857142857,0.9357142857142857
exclude_nans,16,10,10,1.55,683,53.879941434846266,29.136163982430453,16.98389458272328,0.9355783308931186
exclude_nans,16,10,10,1.6,663,52.79034690799397,29.71342383107089,17.49622926093514,0.9351432880844646
exclude_nans,16,10,10,1.65,635,50.70866141732283,31.023622047244093,18.26771653543307,0.9307086614173228
exclude_nans,16,10,10,1.7,608,48.68421052631579,32.401315789473685,18.914473684210524,0.9276315789473685
exclude_nans,16,10,10,1.75,579,46.45941278065631,33.85146804835924,19.689119170984455,0.92573402417962
exclude_nans,16,10,10,1.8,551,44.46460980036298,35.027223230490016,20.508166969147005,0.9219600725952813
exclude_nans,16,10,10,1.85,526,42.20532319391635,36.31178707224335,21.482889733840306,0.9163498098859315
exclude_nans,16,10,10,1.9,497,39.2354124748491,38.22937625754527,22.535211267605636,0.9255533199195171
exclude_nans,16,10,10,1.95,476,36.97478991596639,39.49579831932773,23.52941176470588,0.9264705882352942
exclude_nans,16,10,10,2.0,460,35.21739130434783,40.43478260869565,24.347826086956523,0.9282608695652174
exclude_nans,17,10,10,1.0,843,61.68446026097272,24.436536180308423,13.87900355871886,0.9442467378410438
exclude_nans,17,10,10,1.05,829,61.158021712907114,24.728588661037396,14.11338962605549,0.9433051869722557
exclude_nans,17,10,10,1.1,822,60.94890510948905,24.817518248175183,14.233576642335766,0.9464720194647201
exclude_nans,17,10,10,1.15,807,60.34696406443618,25.154894671623296,14.49814126394052,0.9479553903345725
exclude_nans,17,10,10,1.2,796,59.92462311557789,25.376884422110553,14.698492462311558,0.9484924623115578
exclude_nans,17,10,10,1.25,784,59.31122448979592,25.765306122448976,14.923469387755103,0.9477040816326531
exclude_nans,17,10,10,1.3,768,58.723958333333336,26.171875,15.104166666666666,0.9401041666666666
exclude_nans,17,10,10,1.35,754,57.95755968169761,26.657824933687003,15.384615384615385,0.9389920424403183
exclude_nans,17,10,10,1.4,735,57.006802721088434,27.2108843537415,15.782312925170066,0.9387755102040817
exclude_nans,17,10,10,1.45,716,55.865921787709496,27.932960893854748,16.201117318435752,0.9371508379888268
exclude_nans,17,10,10,1.5,697,54.80631276901005,28.55093256814921,16.642754662840744,0.9368723098995696
exclude_nans,17,10,10,1.55,680,53.970588235294116,28.97058823529412,17.058823529411764,0.9352941176470588
exclude_nans,17,10,10,1.6,660,52.87878787878788,29.545454545454547,17.575757575757574,0.9348484848484848
exclude_nans,17,10,10,1.65,632,50.79113924050633,30.854430379746834,18.354430379746837,0.9287974683544303
exclude_nans,17,10,10,1.7,605,48.760330578512395,32.231404958677686,19.00826446280992,0.9272727272727272
exclude_nans,17,10,10,1.75,576,46.52777777777778,33.68055555555556,19.791666666666664,0.9253472222222222
exclude_nans,17,10,10,1.8,548,44.52554744525548,34.85401459854015,20.62043795620438,0.9215328467153284
exclude_nans,17,10,10,1.85,523,42.25621414913958,36.137667304015295,21.606118546845124,0.9158699808795411
exclude_nans,17,10,10,1.9,494,39.27125506072874,38.05668016194332,22.672064777327936,0.9251012145748988
exclude_nans,17,10,10,1.95,473,36.99788583509514,39.323467230443974,23.678646934460886,0.9260042283298098
exclude_nans,17,10,10,2.0,457,35.22975929978118,40.26258205689278,24.50765864332604,0.9277899343544858
exclude_nans,18,10,10,1.0,835,62.03592814371257,24.191616766467067,13.77245508982036,0.9497005988023952
exclude_nans,18,10,10,1.05,821,61.510353227771006,24.482338611449453,14.007308160779536,0.9500609013398295
exclude_nans,18,10,10,1.1,814,61.302211302211305,24.57002457002457,14.127764127764127,0.9496314496314496
exclude_nans,18,10,10,1.15,799,60.70087609511889,24.90613266583229,14.392991239048811,0.951188986232791
exclude_nans,18,10,10,1.2,788,60.27918781725889,25.12690355329949,14.593908629441623,0.9517766497461929
exclude_nans,18,10,10,1.25,776,59.66494845360825,25.51546391752577,14.81958762886598,0.9510309278350515
exclude_nans,18,10,10,1.3,760,59.078947368421055,25.921052631578945,15.0,0.9460526315789474
exclude_nans,18,10,10,1.35,746,58.31099195710456,26.40750670241287,15.281501340482572,0.9450402144772118
exclude_nans,18,10,10,1.4,727,57.35900962861072,26.960110041265473,15.680880330123797,0.9436038514442916
exclude_nans,18,10,10,1.45,708,56.21468926553672,27.683615819209038,16.101694915254235,0.942090395480226
exclude_nans,18,10,10,1.5,689,55.152394775036285,28.30188679245283,16.545718432510885,0.9462989840348331
exclude_nans,18,10,10,1.55,672,54.31547619047619,28.720238095238095,16.964285714285715,0.9434523809523809
exclude_nans,18,10,10,1.6,653,53.29249617151608,29.249617151607964,17.457886676875958,0.9433384379785605
exclude_nans,18,10,10,1.65,625,51.2,30.56,18.240000000000002,0.9344
exclude_nans,18,10,10,1.7,598,49.163879598662206,31.93979933110368,18.896321070234116,0.9347826086956522
exclude_nans,18,10,10,1.75,569,46.92442882249561,33.391915641476274,19.68365553602812,0.9332161687170475
exclude_nans,18,10,10,1.8,541,44.91682070240296,34.56561922365989,20.51756007393715,0.9260628465804066
exclude_nans,18,10,10,1.85,516,42.63565891472868,35.85271317829458,21.511627906976745,0.9263565891472868
exclude_nans,18,10,10,1.9,488,39.549180327868854,37.704918032786885,22.74590163934426,0.930327868852459
exclude_nans,18,10,10,1.95,467,37.25910064239829,38.97216274089936,23.768736616702355,0.9293361884368309
exclude_nans,18,10,10,2.0,451,35.47671840354767,39.91130820399113,24.6119733924612,0.926829268292683
exclude_nans,19,10,10,1.0,814,62.65356265356266,23.587223587223587,13.75921375921376,0.9508599508599509
exclude_nans,19,10,10,1.05,800,62.125,23.875,14.000000000000002,0.95125
exclude_nans,19,10,10,1.1,793,61.91677175283733,23.959646910466585,14.123581336696093,0.9508196721311475
exclude_nans,19,10,10,1.15,780,61.410256410256416,24.23076923076923,14.358974358974358,0.9525641025641025
exclude_nans,19,10,10,1.2,769,60.98829648894668,24.44733420026008,14.564369310793237,0.953185955786736
exclude_nans,19,10,10,1.25,757,60.36988110964333,24.834874504623514,14.795244385733158,0.952443857331572
exclude_nans,19,10,10,1.3,741,59.78407557354926,25.236167341430498,14.979757085020243,0.9473684210526315
exclude_nans,19,10,10,1.35,727,59.009628610729024,25.722145804676757,15.268225584594223,0.9394773039889959
exclude_nans,19,10,10,1.4,708,58.05084745762712,26.27118644067797,15.677966101694915,0.9463276836158192
exclude_nans,19,10,10,1.45,689,56.89404934687954,26.995645863570395,16.110304789550074,0.9361393323657474
exclude_nans,19,10,10,1.5,670,55.82089552238806,27.611940298507463,16.567164179104477,0.9402985074626866
exclude_nans,19,10,10,1.55,653,54.97702909647779,28.024502297090354,16.998468606431853,0.9418070444104135
exclude_nans,19,10,10,1.6,635,54.01574803149606,28.503937007874015,17.480314960629922,0.9417322834645669
exclude_nans,19,10,10,1.65,607,51.894563426688634,29.818780889621088,18.28665568369028,0.9373970345963756
exclude_nans,19,10,10,1.7,580,49.82758620689655,31.20689655172414,18.96551724137931,0.9362068965517242
exclude_nans,19,10,10,1.75,551,47.54990925589836,32.66787658802178,19.782214156079856,0.9328493647912885
exclude_nans,19,10,10,1.8,523,45.506692160611856,33.84321223709369,20.650095602294456,0.9273422562141491
exclude_nans,19,10,10,1.85,499,43.28657314629258,35.07014028056113,21.64328657314629,0.9278557114228457
exclude_nans,19,10,10,1.9,471,40.12738853503185,36.94267515923567,22.929936305732486,0.9320594479830149
exclude_nans,19,10,10,1.95,450,37.77777777777778,38.22222222222222,24.0,0.9311111111111111
exclude_nans,19,10,10,2.0,435,36.0919540229885,39.08045977011494,24.82758620689655,0.9287356321839081
exclude_nans,20,10,10,1.0,804,63.18407960199005,23.00995024875622,13.805970149253731,0.9527363184079602
exclude_nans,20,10,10,1.05,790,62.65822784810127,23.29113924050633,14.050632911392405,0.950632911392405
exclude_nans,20,10,10,1.1,783,62.45210727969349,23.371647509578544,14.17624521072797,0.9476372924648787
exclude_nans,20,10,10,1.15,770,61.948051948051955,23.636363636363637,14.415584415584416,0.9532467532467532
exclude_nans,20,10,10,1.2,759,61.528326745718054,23.847167325428195,14.624505928853754,0.9538866930171278
exclude_nans,20,10,10,1.25,747,60.91030789825971,24.230254350736278,14.859437751004014,0.9531459170013387
exclude_nans,20,10,10,1.3,731,60.32831737346102,24.623803009575923,15.047879616963064,0.945280437756498
exclude_nans,20,10,10,1.35,717,59.5536959553696,25.10460251046025,15.341701534170154,0.9442119944211994
exclude_nans,20,10,10,1.4,698,58.59598853868195,25.644699140401144,15.759312320916905,0.9441260744985673
exclude_nans,20,10,10,1.45,679,57.437407952871865,26.362297496318117,16.200294550810014,0.9425625920471281
exclude_nans,20,10,10,1.5,660,56.36363636363636,26.969696969696972,16.666666666666664,0.9393939393939394
exclude_nans,20,10,10,1.55,644,55.434782608695656,27.48447204968944,17.080745341614907,0.9425465838509317
exclude_nans,20,10,10,1.6,627,54.385964912280706,28.07017543859649,17.543859649122805,0.9441786283891547
exclude_nans,20,10,10,1.65,599,52.25375626043406,29.382303839732888,18.363939899833053,0.9398998330550918
exclude_nans,20,10,10,1.7,572,50.17482517482518,30.76923076923077,19.055944055944053,0.9353146853146853
exclude_nans,20,10,10,1.75,543,47.882136279926335,32.22836095764273,19.88950276243094,0.9300184162062615
exclude_nans,20,10,10,1.8,517,45.84139264990329,33.46228239845261,20.6963249516441,0.9284332688588007
exclude_nans,20,10,10,1.85,494,43.522267206477736,34.81781376518219,21.65991902834008,0.9271255060728745
exclude_nans,20,10,10,1.9,466,40.343347639484975,36.69527896995708,22.96137339055794,0.9334763948497854
exclude_nans,20,10,10,1.95,445,37.97752808988764,37.97752808988764,24.044943820224717,0.9303370786516854
exclude_nans,20,10,10,2.0,430,36.27906976744186,38.83720930232558,24.88372093023256,0.9279069767441861
exclude_nans,21,10,10,1.0,791,63.21112515802781,23.008849557522122,13.780025284450062,0.9456384323640961
exclude_nans,21,10,10,1.05,777,62.676962676962674,23.294723294723294,14.028314028314028,0.9446589446589446
exclude_nans,21,10,10,1.1,770,62.46753246753247,23.376623376623375,14.155844155844155,0.9415584415584416
exclude_nans,21,10,10,1.15,757,61.9550858652576,23.645970937912814,14.398943196829592,0.9471598414795245
exclude_nans,21,10,10,1.2,746,61.52815013404825,23.86058981233244,14.6112600536193,0.9436997319034852
exclude_nans,21,10,10,1.25,735,60.952380952380956,24.217687074829932,14.829931972789115,0.9428571428571428
exclude_nans,21,10,10,1.3,720,60.416666666666664,24.583333333333332,15.0,0.9444444444444444
