Camera,Date,FSC,Tree Snow,Image,x_coord,y_coord,Certainty,Altitude,MOD10A1,MYD10A1,SCFG
sodankyla_full,10/11/2019,1,1,,26.634154,67.361833,1,185,80,82,206
sodankyla_full,09/12/2019,1,1,,26.634154,67.361833,1,185,211,211,206
sodankyla_full,13/12/2019,1,0,191213_141501_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,211,211,206
sodankyla_full,11/01/2020,1,0,200111_100002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,211,211,206
sodankyla_full,15/01/2020,1,1,,26.634154,67.361833,1,185,211,211,206
sodankyla_full,22/01/2020,1,1,200122_123004_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,211,211,206
sodankyla_full,26/01/2020,1,1,,26.634154,67.361833,1,185,211,211,206
sodankyla_full,09/02/2020,1,1,,26.634154,67.361833,1,185,52,69,205
sodankyla_full,20/02/2020,1,1,,26.634154,67.361833,1,185,63,69,100
sodankyla_full,24/02/2020,1,0,,26.634154,67.361833,1,185,63,69,205
sodankyla_full,20/03/2020,1,0,,26.634154,67.361833,1,185,61,52,100
sodankyla_full,24/03/2020,1,0,200324_121501_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,58,64,100
sodankyla_full,11/04/2020,1,0,200411_160002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,75,68,100
sodankyla_full,22/04/2020,1,0,200422_134502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,72,79,100
sodankyla_full,26/04/2020,1,0,,26.634154,67.361833,1,185,72,79,205
sodankyla_full,09/05/2020,1,0,,26.634154,67.361833,1,185,67,72,205
sodankyla_full,13/05/2020,0.9,0,,26.634154,67.361833,0,185,62,64,100
sodankyla_full,21/05/2020,0.8,0,,26.634154,67.361833,0,185,58,51,100
sodankyla_full,25/05/2020,0.5,0,,26.634154,67.361833,0,185,46,0,15
sodankyla_full,11/06/2020,0,0,200611_131502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,0
sodankyla_full,19/06/2020,0,0,,26.634154,67.361833,1,185,0,0,0
sodankyla_full,23/06/2020,0,0,200623_121501_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,0
sodankyla_full,10/07/2020,0,0,200710_131502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,205
sodankyla_full,22/07/2020,0,0,200722_121502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,205
sodankyla_full,08/08/2020,0,0,,26.634154,67.361833,1,185,0,25,0
sodankyla_full,12/08/2020,0,0,,26.634154,67.361833,1,185,0,25,205
sodankyla_full,24/08/2020,0,0,,26.634154,67.361833,1,185,0,0,0
sodankyla_full,06/09/2020,0,0,,26.634154,67.361833,1,185,0,0,0
sodankyla_full,10/09/2020,0,0,200910_164501_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,11,0,0
sodankyla_full,22/09/2020,0,0,200922_114502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,0
sodankyla_full,09/10/2020,0,0,201009_123002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,250,250,205
sodankyla_full,13/10/2020,0,0,,26.634154,67.361833,1,185,250,250,0
sodankyla_full,21/10/2020,1,1,201021_140002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,50,250,205
sodankyla_full,07/11/2020,0,0,,26.634154,67.361833,1,185,49,29,206
sodankyla_full,10/12/2020,1,1,201210_130004_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,211,211,206
sodankyla_full,17/12/2020,1,1,,26.634154,67.361833,1,185,211,211,206
sodankyla_full,04/01/2021,1,1,,26.634154,67.361833,1,185,211,211,
sodankyla_full,08/01/2021,1,1,210108_121502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,211,211,
sodankyla_full,19/01/2021,1,1,,26.634154,67.361833,1,185,211,211,
sodankyla_full,06/02/2021,1,1,,26.634154,67.361833,1,185,211,70,
sodankyla_full,17/02/2021,1,1,,26.634154,67.361833,1,185,58,62,
sodankyla_full,07/03/2021,1,0,,26.634154,67.361833,1,185,52,69,
sodankyla_full,11/03/2021,1,0,,26.634154,67.361833,1,185,53,56,
sodankyla_full,18/03/2021,1,0,,26.634154,67.361833,1,185,49,56,
sodankyla_full,22/03/2021,1,0,210322_124501_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,55,51,
sodankyla_full,09/04/2021,1,0,210409_123003_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,45,66,
sodankyla_full,13/04/2021,1,0,,26.634154,67.361833,1,185,45,66,
sodankyla_full,20/04/2021,1,0,210420_070002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,71,70,
sodankyla_full,08/05/2021,0.8,0,,26.634154,67.361833,0,185,57,53,
sodankyla_full,06/06/2021,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,10/06/2021,0,0,210610_150002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,
sodankyla_full,09/07/2021,0,0,210709_151502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,
sodankyla_full,13/07/2021,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,20/07/2021,0,0,210720_124502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,
sodankyla_full,24/07/2021,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,07/08/2021,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,11/08/2021,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,22/08/2021,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,04/09/2021,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,08/09/2021,0,0,210908_151502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,
sodankyla_full,16/09/2021,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,20/09/2021,0,0,210920_101502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,
sodankyla_full,07/10/2021,0,0,211007_123005_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,250,250,
sodankyla_full,19/10/2021,0,0,,26.634154,67.361833,1,185,15,20,
sodankyla_full,23/10/2021,1,0,,26.634154,67.361833,1,185,15,20,
sodankyla_full,21/11/2021,1,1,,26.634154,67.361833,1,185,211,211,
sodankyla_full,04/12/2021,1,1,,26.634154,67.361833,1,185,211,211,
sodankyla_full,08/12/2021,1,1,,26.634154,67.361833,1,185,211,211,
sodankyla_full,16/12/2021,1,1,,26.634154,67.361833,1,185,211,211,
sodankyla_full,20/12/2021,1,1,211220_140002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,211,211,
sodankyla_full,06/01/2022,1,1,220106_124502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,211,211,
sodankyla_full,10/01/2021,1,1,,26.634154,67.361833,1,185,211,211,
sodankyla_full,18/01/2022,1,0,220118_121502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,211,211,
sodankyla_full,22/01/2022,1,0,,26.634154,67.361833,1,185,211,211,
sodankyla_full,16/02/2022,1,1,,26.634154,67.361833,1,185,66,67,
sodankyla_full,20/02/2022,1,1,,26.634154,67.361833,1,185,51,67,
sodankyla_full,05/03/2022,1,0,,26.634154,67.361833,1,185,65,67,
sodankyla_full,09/03/2022,1,0,220309_121502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,44,74,
sodankyla_full,17/03/2022,1,0,,26.634154,67.361833,1,185,68,70,
sodankyla_full,21/03/2022,1,0,220321_123002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,66,65,
sodankyla_full,19/04/2022,1,0,220419_130002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,68,71,
sodankyla_full,23/04/2022,0.9,0,,26.634154,67.361833,0,185,59,73,
sodankyla_full,06/05/2022,0.6,0,,26.634154,67.361833,0,185,47,0,
sodankyla_full,17/05/2022,0.1,0,,26.634154,67.361833,0,185,0,0,
sodankyla_full,08/06/2022,0,0,220608_161501_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,
sodankyla_full,19/06/2022,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,07/07/2022,0,0,220707_124502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,
sodankyla_full,11/07/2022,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,18/07/2022,0,0,220718_131501_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,
sodankyla_full,22/07/2022,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,05/08/2022,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,09/08/2022,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,16/08/2022,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,20/08/2022,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,07/09/2022,0,0,220907_114501_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,
sodankyla_full,18/09/2022,0,0,220918_150002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,
sodankyla_full,06/10/2022,0,0,221006_081502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,250,250,
sodankyla_full,10/10/2022,0,0,,26.634154,67.361833,1,185,12,0,
sodankyla_full,17/10/2022,0,0,221017_130002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,12,0,
sodankyla_full,21/10/2022,0,0,,26.634154,67.361833,1,185,12,38,
sodankyla_full,04/11/2022,0.6,0,,26.634154,67.361833,0,185,39,44,
sodankyla_full,08/11/2022,1,1,,26.634154,67.361833,1,185,57,40,
sodankyla_full,19/11/2022,1,1,,26.634154,67.361833,1,185,211,211,
sodankyla_full,03/12/2022,1,1,,26.634154,67.361833,1,185,211,211,
sodankyla_full,07/12/2022,1,1,221207_130002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,211,211,
sodankyla_full,14/12/2022,1,1,,26.634154,67.361833,1,185,211,211,
sodankyla_full,18/12/2022,1,1,221218_110002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,211,211,
sodankyla_full,05/01/2023,1,1,230105_134502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,211,211,
sodankyla_full,16/01/2023,1,1,230116_124502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,211,211,
sodankyla_full,02/02/2023,1,1,,26.634154,67.361833,1,185,73,84,
sodankyla_full,07/03/2023,1,0,230307_100002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,51,59,
sodankyla_full,15/03/2023,1,1,,26.634154,67.361833,1,185,63,51,
sodankyla_full,19/03/2023,1,1,230319_144502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,0,185,60,64,
sodankyla_full,05/04/2023,1,0,230405_140002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,65,71,
sodankyla_full,09/04/2023,1,0,,26.634154,67.361833,1,185,81,73,
sodankyla_full,17/04/2023,1,0,230417_131502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,74,73,
sodankyla_full,21/04/2023,1,0,,26.634154,67.361833,1,185,73,67,
sodankyla_full,08/05/2023,0.7,0,,26.634154,67.361833,0,185,51,55,
sodankyla_full,16/05/2023,0.1,0,,26.634154,67.361833,0,185,0,0,
sodankyla_full,20/05/2023,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,02/06/2023,0,0,,26.634154,67.361833,1,185,0,65,
sodankyla_full,06/06/2023,0,0,230606_121502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,65,
sodankyla_full,14/06/2023,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,18/06/2023,0,0,230618_144502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,
sodankyla_full,05/07/2023,0,0,230705_124501_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,
sodankyla_full,09/07/2023,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,17/07/2023,0,0,230717_110002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,
sodankyla_full,03/08/2023,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,07/08/2023,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,15/08/2023,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,19/08/2023,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,01/09/2023,0,0,,26.634154,67.361833,1,185,0,0,
sodankyla_full,05/09/2023,0,0,230905_133002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,
sodankyla_full,16/09/2023,0,0,230916_124502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,
sodankyla_full,04/10/2023,0,0,231004_131502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,14,250,
sodankyla_full,08/10/2023,1,1,,26.634154,67.361833,1,185,14,250,
sodankyla_full,15/10/2023,1,1,231015_121502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,48,53,
sodankyla_full,19/10/2023,1,0,,26.634154,67.361833,1,185,49,53,
sodankyla_full,02/11/2023,1,1,,26.634154,67.361833,1,185,66,76,
sodankyla_full,13/11/2023,1,1,,26.634154,67.361833,1,185,211,211,
delta_junction,05/11/2018,1,1,NEON.D19.DEJU.DP1.00033_2018_11_05_143006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,66,62,86
delta_junction,15/11/2018,1,1,NEON.D19.DEJU.DP1.00033_2018_11_15_113006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,81,76,83
delta_junction,14/12/2018,1,1,,-145.7514,63.8811,1,504,211,211,206
delta_junction,06/01/2019,1,1,,-145.7514,63.8811,1,504,211,211,206
delta_junction,16/01/2019,1,1,,-145.7514,63.8811,1,504,43,57,206
delta_junction,04/02/2019,1,1,NEON.D19.DEJU.DP1.00033_2019_02_04_143006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,57,71,205
delta_junction,14/02/2019,1,1,NEON.D19.DEJU.DP1.00033_2019_02_14_143006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,60,71,99
delta_junction,05/03/2019,1,0,,-145.7514,63.8811,1,504,60,61,100
delta_junction,13/03/2019,1,0,NEON.D19.DEJU.DP1.00033_2019_03_13_160006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,56,59,205
delta_junction,15/03/2019,1,0,,-145.7514,63.8811,1,504,56,59,205
delta_junction,07/04/2019,0.2,0,NEON.D19.DEJU.DP1.00033_2019_04_07_163005.jpg (1296×960) (nau.edu),-145.7514,63.8811,0,504,25,12,30
delta_junction,06/05/2019,0,0,NEON.D19.DEJU.DP1.00033_2019_05_06_110006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,0,0
delta_junction,16/05/2019,0,0,NEON.D19.DEJU.DP1.00033_2019_05_16_110005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,0,0
delta_junction,17/07/2019,0,0,,-145.7514,63.8811,1,504,0,0,205
delta_junction,05/08/2019,0,0,NEON.D19.DEJU.DP1.00033_2019_08_05_103005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,0,205
delta_junction,14/08/2019,0,0,NEON.D19.DEJU.DP1.00033_2019_08_14_140006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,0,205
delta_junction,03/09/2019,0,0,,-145.7514,63.8811,1,504,0,0,205
delta_junction,12/09/2019,0,0,NEON.D19.DEJU.DP1.00033_2019_09_12_143005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,21,0
delta_junction,04/11/2019,1,1,NEON.D19.DEJU.DP1.00033_2019_11_04_113005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,52,71,205
delta_junction,13/11/2019,1,1,NEON.D19.DEJU.DP1.00033_2019_11_13_120005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,68,67,205
delta_junction,03/12/2019,1,1,,-145.7514,63.8811,1,504,211,211,206
delta_junction,05/01/2020,1,0,NEON.D19.DEJU.DP1.00033_2020_01_05_133005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,211,211,206
delta_junction,03/02/2020,1,1,NEON.D19.DEJU.DP1.00033_2020_02_03_120006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,42,76,205
delta_junction,12/02/2020,1,1,NEON.D19.DEJU.DP1.00033_2020_02_12_103005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,41,76,205
delta_junction,12/03/2020,1,1,NEON.D19.DEJU.DP1.00033_2020_03_12_120005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,53,61,205
delta_junction,14/04/2020,1,0,,-145.7514,63.8811,1,504,59,69,100
delta_junction,03/05/2020,0.3,0,NEON.D19.DEJU.DP1.00033_2020_05_03_203005.jpg (1296×960) (nau.edu),-145.7514,63.8811,0,504,0,0,0
delta_junction,13/05/2020,0,0,NEON.D19.DEJU.DP1.00033_2020_05_13_110005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,0,0
delta_junction,01/06/2020,0,0,,-145.7514,63.8811,1,504,17,0,0
delta_junction,04/07/2020,0,0,NEON.D19.DEJU.DP1.00033_2020_07_04_140006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,0,0
delta_junction,14/07/2020,0,0,,-145.7514,63.8811,1,504,0,0,0
delta_junction,02/08/2020,0,0,NEON.D19.DEJU.DP1.00033_2020_08_02_110006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,0,0
delta_junction,12/08/2020,0,0,NEON.D19.DEJU.DP1.00033_2020_08_12_170006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,0,205
delta_junction,01/11/2020,1,1,NEON.D19.DEJU.DP1.00033_2020_11_01_123005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,48,67,205
delta_junction,11/11/2020,1,0,NEON.D19.DEJU.DP1.00033_2020_11_11_113005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,18,66,206
delta_junction,30/11/2020,1,0,,-145.7514,63.8811,1,504,211,211,206
delta_junction,02/01/2021,1,0,NEON.D19.DEJU.DP1.00033_2021_01_02_150005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,211,211,
delta_junction,31/01/2021,1,1,NEON.D19.DEJU.DP1.00033_2021_01_31_143006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,55,60,
delta_junction,09/02/2021,1,1,NEON.D19.DEJU.DP1.00033_2021_02_09_110006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,61,71,
delta_junction,10/03/2021,1,1,NEON.D19.DEJU.DP1.00033_2021_03_10_100005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,49,60,
delta_junction,12/04/2021,1,0,,-145.7514,63.8811,1,504,55,68,
delta_junction,02/05/2021,0.3,0,NEON.D19.DEJU.DP1.00033_2021_05_02_043006.jpg (1296×960) (nau.edu),-145.7514,63.8811,0,504,0,0,
delta_junction,11/05/2021,0,0,NEON.D19.DEJU.DP1.00033_2021_05_11_133006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,0,
delta_junction,31/05/2021,0,0,,-145.7514,63.8811,1,504,0,0,
delta_junction,03/07/2021,0,0,NEON.D19.DEJU.DP1.00033_2021_07_03_133006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,0,
delta_junction,12/07/2021,0,0,,-145.7514,63.8811,1,504,0,0,
delta_junction,01/08/2021,0,0,NEON.D19.DEJU.DP1.00033_2021_08_01_103006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,0,
delta_junction,10/08/2021,0,0,NEON.D19.DEJU.DP1.00033_2021_08_10_133005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,0,
delta_junction,08/09/2021,0,0,,-145.7514,63.8811,1,504,0,0,
delta_junction,01/10/2021,1,1,NEON.D19.DEJU.DP1.00033_2021_10_01_123005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,250,250,
delta_junction,30/10/2021,1,0,NEON.D19.DEJU.DP1.00033_2021_10_30_120006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,65,44,
delta_junction,09/11/2021,1,1,NEON.D19.DEJU.DP1.00033_2021_11_09_123005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,64,64,
delta_junction,08/12/2021,1,1,,-145.7514,63.8811,1,504,211,211,
delta_junction,31/12/2021,1,1,,-145.7514,63.8811,1,504,211,211,
delta_junction,10/01/2022,1,1,,-145.7514,63.8811,1,504,211,211,
delta_junction,29/01/2022,1,1,NEON.D19.DEJU.DP1.00033_2022_01_29_113005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,68,80,
delta_junction,08/02/2022,1,1,NEON.D19.DEJU.DP1.00033_2022_02_08_123006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,63,62,
delta_junction,09/03/2022,1,1,,-145.7514,63.8811,1,504,63,57,
delta_junction,01/04/2022,1,0,,-145.7514,63.8811,1,504,59,63,
delta_junction,30/04/2022,0.9,0,NEON.D19.DEJU.DP1.00033_2022_04_30_113005.jpg (1296×960) (nau.edu),-145.7514,63.8811,0,504,73,74,
delta_junction,09/05/2022,0.7,0,NEON.D19.DEJU.DP1.00033_2022_05_09_203006.jpg (1296×960) (nau.edu),-145.7514,63.8811,0,504,34,31,
delta_junction,29/05/2022,0,0,,-145.7514,63.8811,1,504,0,0,
delta_junction,01/07/2022,0,0,,-145.7514,63.8811,1,504,0,0,
delta_junction,30/07/2022,0,0,NEON.D19.DEJU.DP1.00033_2022_07_30_110005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,0,
delta_junction,08/08/2022,0,0,NEON.D19.DEJU.DP1.00033_2022_08_08_140005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,0,
delta_junction,28/08/2022,0,0,,-145.7514,63.8811,1,504,0,0,
delta_junction,30/09/2022,0,0,NEON.D19.DEJU.DP1.00033_2022_09_30_130006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,0,0,
delta_junction,29/10/2022,1,1,NEON.D19.DEJU.DP1.00033_2022_10_29_080005.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,42,77,
delta_junction,07/11/2022,1,1,NEON.D19.DEJU.DP1.00033_2022_11_07_120006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,57,78,
delta_junction,06/12/2022,1,1,NEON.D19.DEJU.DP1.00033_2022_12_06_130006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,211,211,
delta_junction,29/12/2022,1,1,NEON.D19.DEJU.DP1.00033_2022_12_29_120006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,211,211,
delta_junction,27/01/2023,1,1,NEON.D19.DEJU.DP1.00033_2023_01_27_150006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,70,60,
delta_junction,06/02/2023,1,1,NEON.D19.DEJU.DP1.00033_2023_02_06_100006.jpg (1296×960) (nau.edu),-145.7514,63.8811,1,504,75,87,
